Package,Homepage,Language,Version,Channel,Evironment,Link,Notes
libbz2-dev,http://www.bzip.org,C/C++,,conda-forge,nps,https://anaconda.org/conda-forge/m2-libbz2,
liblzma-dev,https://tukaani.org/xz/,C/C++,,conda-forge,nps,https://anaconda.org/conda-forge/m2-liblzma,
libpcre3-dev,http://www.pcre.org/,,,conda-forge,"nps, saige",https://anaconda.org/conda-forge/m2-libpcre32,
libssl-dev,,,,zegami,nps,https://anaconda.org/zegami/libssl-libcryptso6,
libopenblas-dev,http://www.openblas.net/,,,conda-forge,nps,https://anaconda.org/conda-forge/libopenblas,
unzip,,,,conda-forge,nps,https://anaconda.org/conda-forge/unzip,
libboost-all-dev,http://www.boost.org/,C/C++,,conda-forge,"nps, saige",https://anaconda.org/conda-forge/libboost,
libpng-dev,http://www.libpng.org/pub/png/libpng.html,,,conda-forge,"nps, saige",https://anaconda.org/conda-forge/libpng,
tabix,https://github.com/samtools/htslib,C/C++,,bioconda,"nps, saige",https://anaconda.org/bioconda/tabix,
pROC,http://expasy.org/tools/pROC/,R,,conda-forge,nps,https://anaconda.org/conda-forge/r-proc,
DescTools,https://andrisignorell.github.io/DescTools/,R,,conda-forge,nps,https://anaconda.org/conda-forge/r-desctools,
mediation,https://CRAN.R-project.org/package=RMediation,R,,r,pleiotropy,https://anaconda.org/r/r-rmediation,
BiocManager,https://CRAN.R-project.org/package=BiocManager,,,cona-forge,plink-r-nothnagel,https://anaconda.org/conda-forge/r-biocmanager,
multtest,https://bioconductor.org/packages/3.18/bioc/html/multtest.html,,,bioconda,plink-r-nothnagel,https://anaconda.org/bioconda/bioconductor-multtest,
plinkseq,https://atgu.mgh.harvard.edu/plinkseq/,C/C++,,hcc,pseq,https://anaconda.org/hcc/plinkseq,
regenie,https://rgcgithub.github.io/regenie/,C/C++,3.2.4,bioconda,regenie,https://anaconda.org/bioconda/regenie,
ggrepel,http://github.com/slowkow/ggrepel,,,conda-forge,regenie,https://anaconda.org/conda-forge/r-ggrepel,
qqman,https://CRAN.R-project.org/package=qqman,,,conda-forge,regenie,https://anaconda.org/conda-forge/r-qqman,
,,,,,,,
wget,https://www.gnu.org/software/wget/,,,conda-dorge,saige,https://anaconda.org/conda-forge/wget,
cmake,http://www.cmake.org/,,,conda-dorge,saige,https://anaconda.org/conda-forge/cmake,
cget,,,,conda-dorge,saige,https://anaconda.org/conda-forge/cget,
bgen,https://github.com/limix/bgen,,3.0.3,conda-dorge,saige,https://anaconda.org/conda-forge/bgen,
bgen-reader,http://github.com/limix/bgen-reader-py,,3.0.7,conda-dorge,saige,https://anaconda.org/conda-forge/bgen-reader,
remotes,https://github.com/r-lib/remotes#readme,R,,conda-forge,saige,https://anaconda.org/conda-forge/r-remotes,
Rcpp,http://www.rcpp.org,R,,conda-forge,saige,https://anaconda.org/conda-forge/r-rcpp,
RcppArmadillo,https://dirk.eddelbuettel.com/code/rcpp.armadillo.html,R,,conda-forge,saige,https://anaconda.org/conda-forge/r-rcpparmadillo,
RcppParallel,"http://rcppcore.github.io/RcppParallel, https://github.com/RcppCore/RcppParallel",R,,conda-forge,saige,https://anaconda.org/conda-forge/r-rcppparallel,
SPAtest,https://CRAN.R-project.org/package=SPAtest,R,,conda-forge,saige,https://anaconda.org/conda-forge/r-spatest,
RcppEigen,http://dirk.eddelbuettel.com/code/rcpp.eigen.html,R,,conda-forge,"saige, twas",https://anaconda.org/conda-forge/r-rcppeigen,
BH,,R,,conda-forge,saige,https://anaconda.org/conda-forge/r-bh,
optparse,https://github.com/trevorld/r-optparse,R,,conda-forge,"saige, twas",https://anaconda.org/conda-forge/r-optparse,
SKAT,https://CRAN.R-project.org/package=SKAT,R,,conda-forge,saige,https://anaconda.org/conda-forge/r-skat,
MetaSKAT,https://CRAN.R-project.org/package=MetaSKAT,R,,conda-forge,saige,https://anaconda.org/conda-forge/r-metaskat,
saige,https://github.com/saigegit/SAIGE,R,,bioconda,saige,https://anaconda.org/bioconda/r-saige,The docker image was downloading via github: https://github.com/statgenetics/SAIGE/commit/465a367c1bd7169d1381975015b5dcb648e2c197
reshape2,https://github.com/hadley/reshape,R,,conda-forge,statgen-equations,https://anaconda.org/conda-forge/r-reshape2,
grid,https://github.com/pmur002/gridgraphics,R,,conda-forge,statgen-equations,https://anaconda.org/conda-forge/r-gridgraphics,
gridExtra,https://github.com/baptiste/gridextra,R,,conda-forge,statgen-equations,https://anaconda.org/conda-forge/r-gridextra,
RColorBrewer,,R,,conda-forge,"statgen-equations, twas",https://anaconda.org/conda-forge/r-rcolorbrewer,
scales,"https://scales.r-lib.org, https://github.com/r-lib/scales",R,,conda-forge,statgen-equations,https://anaconda.org/conda-forge/r-scales,
dplyr,"https://dplyr.tidyverse.org, https://github.com/tidyverse/dplyr",R,,conda-forge,statgen-equations,https://anaconda.org/conda-forge/r-dplyr,
rgl,https://r-forge.r-project.org/projects/rgl/,R,,conda-forge,statgen-equations,https://anaconda.org/conda-forge/r-rgl,
MASS,,R,,conda-forge,statgen-equations,https://anaconda.org/conda-forge/r-mass,
mgcv,,R,,conda-forge,statgen-equations,https://anaconda.org/conda-forge/r-mgcv,
pyGWAS ,,,,blthree,twas,https://anaconda.org/blthree/pygwas,miniconda2
pandas,http://pandas.pydata.org,,,conda-forge,twas,https://anaconda.org/conda-forge/pandas,miniconda2
scipy,http://www.scipy.org/,,,conda-forge,twas,https://anaconda.org/conda-forge/scipy,miniconda2
abind,https://cran.r-project.org/package=abind,R,,conda-forge,twas,https://anaconda.org/conda-forge/r-abind,
data.table,https://r-datatable.com,R,,conda-forge,twas,https://anaconda.org/conda-forge/r-data.table,
tibble,"https://tibble.tidyverse.org/, https://github.com/tidyverse/tibble",R,,conda-forge,twas,https://anaconda.org/conda-forge/r-tibble,
modelr,"https://modelr.tidyverse.org, https://github.com/tidyverse/modelr",R,,conda-forge,twas,https://anaconda.org/conda-forge/r-modelr,
purrr,https://purrr.tidyverse.org,R,,conda-forge,twas,https://anaconda.org/conda-forge/r-purrr,
RSQLite,https://github.com/r-dbi/RSQLite,R,,conda-forge,twas,https://anaconda.org/conda-forge/r-rsqlite,
glmnet,"https://glmnet.stanford.edu, https://dx.doi.org/10.18637/jss.v033.i01, https://dx.doi.org/10.18637/jss.v039.i05",R,,conda-forge,twas,https://anaconda.org/conda-forge/r-glmnet,
HDCI,https://CRAN.R-project.org/package=HDCI,R,,conda-forge,twas,https://anaconda.org/conda-forge/r-hdci,
MR-JTI.zip,,,,,twas,https://www.dropbox.com/sh/i9elg3m4wav4o5g/AAABdxZbVyBclbfa_1KKVftDa?dl=0,"Not available in conda, downloaded via dropbox"
annovar,,,,,vat,,Not available in conda
king,,,,,vat,,Not available in conda
annotation-tutorial,,,,,annovar,https://www.dropbox.com/sh/i9elg3m4wav4o5g/AAABdxZbVyBclbfa_1KKVftDa?dl=0,Not available in conda
cassi,,,,,epistasis,,Not available in conda
igv_exercise,,,,,igv,https://statgen.us/files/igv_exercise.zip,Not available in conda
linkage,,,,,mlink,,Not available in conda
fastlink,,,,,mlink,,Not available in conda
fastlink-doc,,,,,mlink,,Not available in conda
libcurl4-openssl-dev,,,,,nps,,Not available in conda
default-jre,,,,,"nps, igv, saige",,Not available in conda
libcairo2-dev,,,,,"nps, saige",,Not available in conda
nps-1.1.0,,,,,nps,https://github.com/sgchun/nps/archive/1.1.0.tar.gz,Not available in conda
hudson,,,,,pleiotropy,https://github.com/anastasia-lucas/hudson,Not available in conda
plink-tutorial,,,,,plink,,Not available in conda; `apt-get install -y plink-tutorial`
Popgen,,,,,popgen,,Downloading scripts in R and course handouts
wine32,,,,,quanto,,"Not available in conda, windows only"
quanto1_2_4,,,,,quanto,,"Not available in conda, windows only"
regression-tutorial,,,,,regression,,Not available in conda
fastlink,,,,,slink,,Not available in conda
